mu,x_inner,x_outer
6.945378151260504,1.4989932196439222,2.6940134044485067
7.140756302521009,1.3366649544958722,3.0494262329993664
7.336134453781512,1.2270345404096852,3.352214706054987
7.531512605042017,1.14360490682615,3.628871808728273
7.726890756302521,1.076293644731927,3.889476185838496
7.9222689075630255,1.0200202610142524,4.139104855150331
8.117647058823529,0.971819878824232,4.380719478565312
8.313025210084033,0.9297950776327434,4.616214497016631
8.508403361344538,0.8926515392058256,4.846881462366639
8.703781512605042,0.8594638799407199,5.073643185467784
8.899159663865547,0.8295461621230276,5.297183207489749
9.094537815126051,0.8023751502468638,5.5180225280855915
9.289915966386555,0.777542294328128,5.7365676082237735
9.485294117647058,0.7547223474784123,5.953141740210763
9.680672268907562,0.7336521053153062,6.168006297150791
9.876050420168067,0.7141155624986784,6.38137556639966
10.071428571428571,0.6959332807062353,6.59342737256765
10.266806722689076,0.6789546032981005,6.804310854707099
10.46218487394958,0.663051843911088,7.014152270345012
10.657563025210084,0.6481158746480459,7.223059400608838
10.852941176470587,0.6340527263176708,7.431124943914754
11.048319327731093,0.6207809333650907,7.63842916551208
11.243697478991596,0.6082294353752897,7.845041990944139
11.439075630252102,0.5963359004287134,8.051024678095223
11.634453781512605,0.5850453722808654,8.256431165807058
11.829831932773109,0.5743091690005755,8.461309171390756
12.025210084033613,0.5640839789402345,8.665701091125577
12.220588235294118,0.5543311130642214,8.869644744687598
12.415966386554622,0.545015882274917,9.073173994841033
12.611344537815125,0.5361070754885681,9.276319266615594
12.806722689075631,0.5275765195361966,9.479107984872488
13.002100840336134,0.5193987059901493,9.681564945139398
13.19747899159664,0.5115504730908743,9.883712629521598
13.392857142857142,0.504010733317261,10.085571477131024
13.588235294117647,0.4967602389847161,10.287160116634128
13.783613445378151,0.4897813796970668,10.488495567080419
13.978991596638656,0.48305800661622394,10.68959341203602
14.17436974789916,0.4765752794176954,10.890467951143803
14.369747899159663,0.47031953252321723,11.09113233250967
14.565126050420169,0.46427815778380715,11.2915986687329
14.760504201680673,0.45843950125764893,11.491878138929158
14.955882352941176,0.4527927721107539,11.69198107871045
15.15126050420168,0.44732796198210223,11.891917059774686
15.346638655462185,0.44203577341300476,12.091694960499034
15.542016806722689,0.4369075561536099,12.291323028718983
15.737394957983193,0.4319352503363679,12.490808937698631
15.932773109243698,0.42711133565374443,12.69015983615039
16.128151260504204,0.42242878580081683,12.889382393039705
16.323529411764707,0.4178810275470746,13.088482837806527
16.51890756302521,0.41346190388911924,13.287466996549009
16.714285714285715,0.409165640809931,13.486340324639956
16.909663865546218,0.4049868172331758,13.685107936185629
17.10504201680672,0.40092033781448133,13.883774630681646
17.300420168067227,0.39696140825736903,14.082344917176291
17.495798319327733,0.3931055128806796,14.280823036212285
17.691176470588236,0.3893483941980099,14.479212979784114
17.886554621848738,0.3856860342987133,14.677518509519969
18.081932773109244,0.3821146378450987,14.875743173271491
18.27731092436975,0.37863061652220903,15.073890320273836
18.47268907563025,0.3752305747954284,15.271963115018806
18.668067226890756,0.3719112968476223,15.4699645499686
18.863445378151262,0.36866973458186636,15.667897457222184
19.058823529411764,0.36550299658835167,15.865764519235249
19.254201680672267,0.362408337985079,16.06356827868241
19.449579831932773,0.35938315105160895,16.261311147541843
19.64495798319328,0.356424956583629,16.458995415473478
19.840336134453782,0.3535313959036379,16.656623257554433
20.035714285714285,0.3507002234696207,16.854196741429472
20.23109243697479,0.3479293000295109,17.05171783392735
20.426470588235293,0.3452165862743973,17.249188407189788
20.621848739495796,0.3425601369480841,17.446610244354822
20.817226890756302,0.33995809537470434,17.64398504483179
21.01260504201681,0.3374086883697639,17.841314429202672
21.20798319327731,0.334910221503265,18.03859994378003
21.403361344537814,0.33246107468647806,18.235843064849668
21.59873949579832,0.3300596980565518,18.4330452026236
21.794117647058826,0.3277046081355002,18.630207704926
21.989495798319325,0.3253943842422202,18.827331860633038
22.18487394957983,0.3231276651380745,19.024418902886314
22.380252100840337,0.32090314588829855,19.221470012096255
22.57563025210084,0.31871957492301856,19.418486318752432
22.771008403361346,0.3165757512830596,19.61546890605446
22.96638655462185,0.3144705220369841,19.81241881237706
23.16176470588235,0.3124027798569273,20.009337033581694
23.357142857142858,0.31037146074183314,20.206224525185316
23.55252100840336,0.30837554187763055,20.40308220439716
23.747899159663866,0.30641403962472646,20.599910952032246
23.94327731092437,0.30448600762397654,20.796711614310837
24.138655462184875,0.3025905350129845,20.993485004551214
24.334033613445378,0.30072674474522854,21.190231904763767
24.529411764705884,0.29889379200509497,21.386953067152444
24.724789915966387,0.2970908627124202,21.583649215530123
24.92016806722689,0.29531717211064834,21.78032104665383
25.115546218487395,0.293571963433137,21.976969231484567
25.310924369747898,0.29185450664256357,22.173594416377302
25.506302521008404,0.2901640972387491,22.37019722420505
