alpha,ell_s,n,r_peak/M,V0,V2_tortoise,Re_omega_M,Minus_Im_omega_M,method
0.0,0,0,2.666634159448792,0.02636748413433556,-0.0027809508937600867,0.18978562126944662,0.09824000155890811,first_order_WKB
0.0,0,1,2.666634159448792,0.02636748413433556,-0.0027809508937600867,0.2658008410272389,0.2104343198160699,first_order_WKB
0.0,0,2,2.666634159448792,0.02636748413433556,-0.0027809508937600867,0.3276187742284875,0.2845462652937851,first_order_WKB
0.0,1,0,2.885964446310177,0.09926338340985601,-0.008044419040134865,0.3294369389351765,0.09625649757353112,first_order_WKB
0.0,1,1,2.885964446310177,0.09926338340985601,-0.008044419040134865,0.39614596753378845,0.24014213329489964,first_order_WKB
0.0,1,2,2.885964446310177,0.09926338340985601,-0.008044419040134865,0.4645110679010897,0.34133143540077693,first_order_WKB
0.0,2,0,2.9516763643774886,0.24712155009605133,-0.01894968212349663,0.5063213256626559,0.09612353886919653,first_order_WKB
0.0,2,1,2.9516763643774886,0.24712155009605133,-0.01894968212349663,0.5611011953280635,0.2602172194581487,first_order_WKB
0.0,2,2,2.9516763643774886,0.24712155009605133,-0.01894968212349663,0.6296667507077891,0.38646949019405613,first_order_WKB
0.0,3,0,2.974114275469754,0.4692526392761988,-0.03538782403613973,0.6917348930335638,0.096148442337654,first_order_WKB
0.0,3,1,2.974114275469754,0.4692526392761988,-0.03538782403613973,0.7366282265294364,0.2708662120747138,first_order_WKB
0.0,3,2,2.974114275469754,0.4692526392761988,-0.03538782403613973,0.8010061884382539,0.41516054080341097,first_order_WKB
0.05,0,0,2.5006008251967367,0.02794258698882028,-0.0029682617475085284,0.19433701727935326,0.09911755291680367,first_order_WKB
0.05,0,1,2.5006008251967367,0.02794258698882028,-0.0029682617475085284,0.27096657194252205,0.21326109847194757,first_order_WKB
0.05,0,2,2.5006008251967367,0.02794258698882028,-0.0029682617475085284,0.3336022084100148,0.28870027098570356,first_order_WKB
0.05,1,0,2.6984335639419412,0.10919178102780895,-0.009073310101259498,0.3445913262771697,0.09773126990707665,first_order_WKB
0.05,1,1,2.6984335639419412,0.10919178102780895,-0.009073310101259498,0.4116256968290409,0.24544639590383996,first_order_WKB
0.05,1,2,2.6984335639419412,0.10919178102780895,-0.009073310101259498,0.4812611442702754,0.34988642150921756,first_order_WKB
