alpha=a/M,r_ph/M,r_ISCO/M,b_shadow/M,ell/M
0.005,2.9799496072490332,5.9549201952763955,5.17010623523024,0.00025
0.005969280317106404,2.976050944522943,5.946162553749594,5.165041749785618,0.0003261128883054667
0.006938560634212808,2.9721484165722405,5.9373987879251775,5.159972253411049,0.00040868536309566177
0.007907840951319212,2.9682420055044325,5.928628868766967,5.154897724594186,0.000497246678664538
0.008877121268425617,2.964331693287141,5.91985276701793,5.149818141665344,0.0005914162200984979
0.00984640158553202,2.960417461746572,5.911070453197835,5.144733482795887,0.0006908779291890078
0.010815681902638425,2.9564992925659555,5.902281897600915,5.139643725996564,0.0007953638736775901
0.01178496221974483,2.9525771672839434,5.89348707029343,5.134548849115829,0.0009046431396424789
0.012754242536851233,2.948651067293039,5.884685941111227,5.129448829838156,0.0010185140145656554
0.013723522853957636,2.944720973837928,5.8758784796573,5.124343645682311,0.001136798304018166
0.014692803171064042,2.940786868013844,5.867064655299252,5.119233273999602,0.0012593370866181186
0.015662083488170445,2.9368487307648983,5.858244437166791,5.114117691972121,0.0013859874704268288
0.01663136380527685,2.9329065428823657,5.849417794149098,5.108996876610937,0.0015166200659814059
0.01760064412238325,2.928960285002957,5.840584694892287,5.103870804754296,0.0016511169843404434
0.018569924439489658,2.9250099376070824,5.831745107796692,5.098739453065765,0.0017893702276706419
0.01953920475659606,2.9210554810170595,5.822899001014236,5.093602798032366,0.0019312803786092464
0.020508485073702464,2.917096895395314,5.814046342445673,5.088460815962688,0.00207675552064567
0.02147776539080887,2.9131341607425534,5.805187099737834,5.08331348298496,0.0022257103396537206
0.022447045707915274,2.9091672568959077,5.796321240280845,5.078160775045105,0.0023780653692660613
0.023416326025021677,2.905196163527058,5.787448731205269,5.0730026679047695,0.002533746351766338
0.024385606342128083,2.9012208601402936,5.778569539379232,5.067839137139315,0.002692683692707965
0.025354886659234487,2.8972413260705965,5.7696836314055,5.062670158135793,0.0028548119922921127
0.02632416697634089,2.8932575404816734,5.760790973618516,5.05749570609088,0.0030200696401476283
0.027293447293447293,2.8892694823639378,5.751891532081417,5.052315756008795,0.003188398462891505
0.0282627276105537,2.885277130532497,5.742985272582934,5.047130282699178,0.0033597434159457974
0.029232007927660102,2.8812804636250804,5.734072160634352,5.041939260774937,0.0035340523127115582
0.030201288244766505,2.8772794600999534,5.725152161466352,5.036742664650078,0.0037112755854712626
0.031170568561872912,2.8732740982337983,5.716225240025808,5.031540468537486,0.00389136607339433
0.03213984887897931,2.8692643561195434,5.707291360972601,5.026332646446686,0.004074278833818783
0.03310912919608572,2.865250211664198,5.698350488676287,5.021119172181567,0.00425997097362258
0.03407840951319212,2.861231642586607,5.689402587212833,5.015900019338075,0.004448401498015631
0.035047689830298524,2.8572086264152006,5.680447620361183,5.0106751613018705,0.0046395311745045945
0.03601697014740493,2.853181140485711,5.671485551599888,5.005444571245943,0.004833322410127171
0.03698625046451133,2.849149161938838,5.662516344103585,5.000208222128222,0.005029739140336618
0.03795553078161774,2.84511266771788,5.653539960739497,4.994966086689107,0.005228746728152329
0.03892481109872414,2.841071634566345,5.644556364063841,4.989718137449001,0.005430311872388172
0.03989409141583054,2.8370260390255098,5.635565516318224,4.984464346705779,0.005634402523934258
0.04086337173293695,2.8329758574319217,5.626567379425896,4.9792046865322375,0.005840987809205555
0.04183265205004335,2.8289210659149204,5.617561914988087,4.973939128773501,0.006050037959987296
0.042801932367149756,2.8248616403940554,5.608549084280114,4.968667645044386,0.006261524249005872
0.04377121268425616,2.8207975565764896,5.599528848247614,4.963390206726724,0.006475418930638056
0.04474049300136256,2.816728789954366,5.5905011675025555,4.9581067849666525,0.0066916951862433524
0.04570977331846897,2.8126553158021337,5.5814660023193055,4.952817350671855,0.006910327073666098
0.046679053635575375,2.8085771091738194,5.572423312630584,4.947521874508767,0.007131289480507024
0.047648333952681775,2.8044941449002554,5.563373058023363,4.942220326899739,0.0073545580808100685
0.04861761426978818,2.8004063975862605,5.554315197734676,4.936912678020151,0.0075801092948500496
0.04958689458689458,2.7963138416078093,5.545249690647443,4.931598897795478,0.007807920251741448
0.05055617490400099,2.7922164511090912,5.536176495286123,4.926278955898335,0.008037968754618851
0.051525455221107394,2.7881141999995807,5.527095569812412,4.92095282174544,0.008270233248165977
0.052494735538213794,2.7840070619510358,5.518006872020749,4.915620464494565,0.00850469278829348
0.0534640158553202,2.7798950103944353,5.508910359333879,4.910281853041408,0.008741327013786082
0.05443329617242661,2.775778018516875,5.499805988798241,4.904936956016445,0.008980116119757542
0.055402576489533006,2.771656059258439,5.490693717079343,4.8995857417817135,0.009221040832767948
0.05637185680663941,2.7675291053089657,5.481573500457058,4.894228178427549,0.009464082387471795
0.05734113712374582,2.7633971291048,5.47244529482081,4.888864233769273,0.009709222504677864
0.05831041744085222,2.7592601028254826,5.463309055664733,4.883493875343835,0.009956443370713027
0.059279697757958626,2.7551179983903715,5.4541647380826985,4.878117070406381,0.010205727617991996
0.06024897807506503,2.750970787455223,5.445012296763314,4.87273378592679,0.010457058306703872
0.06121825839217143,2.746818441408692,5.435851685984808,4.867343988586136,0.010710418907534328
0.06218753870927784,2.7426609313688024,5.426682859609844,4.861947644773116,0.01096579328534929
0.06315681902638424,2.738498228179336,5.417505771080239,4.85654472058039,0.011223165683772404
0.06412609934349064,2.734330302406154,5.408320373411625,4.851135181800889,0.011482520710594312
0.06509537966059706,2.7301571243334752,5.399126619187971,4.845718993924048,0.01174384332395694
0.06606465997770346,2.725978663960077,5.389924460556077,4.840296122131981,0.012007118819260604
0.06703394029480986,2.7217948909954397,5.380713849219931,4.8348665312955985,0.01227233281674612
0.06800322061191627,2.717605774855801,5.371494736434988,4.8294301859706446,0.01253947124970773
0.06897250092902267,2.713411284660167,5.362267073002341,4.8239870503937015,0.012808520353296262
0.06994178124612907,2.709211389226243,5.353030809262843,4.8185370884780845,0.013079466653875127
0.07091106156323548,2.705006057066291,5.343785895091061,4.813080263809704,0.01335229695889441
0.07188034188034188,2.700795256382907,5.334532279889165,4.807616539642845,0.013626998347251198
0.07284962219744828,2.6965789550647425,5.325269912580737,4.802145878895869,0.013903558160106468
0.0738189025145547,2.6923571206821335,5.315998741604405,4.796668244146862,0.014181963992131121
0.0747881828316611,2.6881297204826415,5.3067187149074675,4.791183597629186,0.01446220368315569
0.0757574631487675,2.6838967213865543,5.297429779939284,4.785691901226978,0.014744265310200169
0.07672674346587391,2.6796580899822553,5.2881318836447155,4.780193116470554,0.01502813717986191
0.07769602378298031,2.6754137925215384,5.278824972457247,4.774687204531746,0.015313807821041213
0.07866530410008671,2.671163794914834,5.269508992292195,4.769174126219154,0.01560126597798561
0.07963458441719312,2.666908062726341,5.2601838885396495,4.763653841973311,0.015890500603635078
0.08060386473429952,2.6626465611690704,5.250849606057391,4.758126311861784,0.016181500853251624
0.08157314505140592,2.6583792550998124,5.241506089163604,4.7525914955741655,0.016474256078317887
0.08254242536851233,2.654106109013969,5.232153281629515,4.7470493524169886,0.016768755820690255
0.08351170568561873,2.649827087040349,5.222791126671903,4.741499841308563,0.017064989806993
0.08448098600272513,2.645542152935813,5.213419566945414,4.735942920773701,0.01736294794324088
0.08545026631983155,2.641251270079847,5.204038544534846,4.730378548938357,0.017662620309678308
0.08641954663693795,2.6369544014690285,5.1946480009471845,4.724806683524195,0.017963997155823985
0.08738882695404435,2.6326515097113776,5.1852478771035875,4.719227281843011,0.018267068895710697
0.08835810727115076,2.6283425570206123,5.175838113331129,4.713640300791107,0.018571826103310405
0.08932738758825716,2.6240275052102997,5.166418649354528,4.7080456968435325,0.018878259508135473
0.09029666790536356,2.6197063156878557,5.1569894242875876,4.70244342604823,0.019186359991007464
0.09126594822246997,2.6153789494484823,5.147550376624569,4.69683344402008,0.01949611857998534
0.09223522853957637,2.611045367068971,5.1381014442313795,4.691215705934833,0.019807526446445397
0.09320450885668277,2.606705528701348,5.128642564336575,4.685590166522926,0.02012057490130584
0.09417378917378917,2.602359394066446,5.11917367352227,4.679956780063197,0.0204352553913891
0.09514306949089558,2.598006922447327,5.109694707714789,4.674315500376482,0.020751559495915593
0.09611234980800198,2.5936480726825715,5.1002056021751905,4.668666280819079,0.02106947892312274
0.09708163012510838,2.5892828031594415,5.090706291489638,4.663009074276115,0.021389005507003785
0.0980509104422148,2.584911071806914,5.081196709559543,4.657343833154762,0.02171013120416071
0.0990201907593212,2.5805328360885613,5.071676789591531,4.651670509377358,0.022032848090766437
0.0999894710764276,2.5761480529952934,5.062146464087273,4.645989054374362,0.022357148359631315
0.10095875139353401,2.5717566790379656,5.052605664833031,4.6402994190772135,0.022683024317369387
0.10192803171064041,2.5673586702398126,5.043054322889098,4.634601553911027,0.023010468381660154
0.10289731202774681,2.562953982128761,5.033492368578969,4.628895408787163,0.023339473078601645
0.10386659234485322,2.558542569729551,5.023919731478332,4.6231809330956555,0.023670031040151026
0.10483587266195962,2.5541243875557234,5.014336340403862,4.617458075697486,0.024002135001648932
0.10580515297906602,2.5496993896014226,5.004742123401758,4.611726784916721,0.024335777799424224
0.10677443329617244,2.5452675293330365,4.995137007736087,4.605987008532487,0.02467095236847559
0.10774371361327884,2.540828759680676,4.985520919876908,4.600238693770793,0.025007651740227052
0.10871299393038523,2.536383033029444,4.975893785488123,4.594481787296195,0.02534586904035433
0.10968227424749165,2.531930301210564,4.966255529415124,4.588716235203296,0.02568559748667917
0.11065155456459805,2.527470515492281,4.9566060756722,4.5829419830080695,0.026026830387128875
0.11162083488170445,2.523003626570591,4.9469453474296765,4.577158975639035,0.026369561137758697
0.11259011519881086,2.518529584559779,4.937273267000788,4.571367157428226,0.026713783220834328
0.11355939551591726,2.5140483389827275,4.927589755828286,4.565566472102,0.027059490202972335
0.11452867583302366,2.509559838761044,4.9178947344708375,4.55975686277166,0.02740667573333633
0.11549795615013007,2.505064032204964,4.908188122589095,4.553938271923881,0.02775533354188661
0.11646723646723647,2.500560867003043,4.8984698389314545,4.54811064141095,0.028105457437681333
0.11743651678434287,2.496050290211595,4.8887398013196055,4.542273912440796,0.028457041307227354
0.11840579710144927,2.4915322482439377,4.878997926633694,4.536428025566825,0.028810079112878716
0.11937507741855569,2.4870066868593925,4.8692441307973,4.530572920677553,0.02916456489128118
0.12034435773566209,2.4824735511520006,4.859478328761952,4.524708536986002,0.029520492751861006
